d:\Training\R\diabetes.csvUnnamed: 0.1,Unnamed: 0,income_normalized,credit_normalized,approval
0,0,0.3745401188473625,0.2617056837359059,0
1,1,0.9507143064099162,0.2469787990719998,0
2,2,0.7319939418114051,0.9062545805210368,1
3,3,0.5986584841970366,0.2495461998495061,1
4,4,0.1560186404424365,0.2719497261286309,1
5,5,0.1559945203362026,0.7593982624179638,1
6,6,0.0580836121681994,0.44973984245054,0
7,7,0.8661761457749352,0.7767105569551813,1
8,8,0.6011150117432088,0.0653661575643853,0
9,9,0.7080725777960455,0.4875711936733842,1
10,10,0.0205844942958024,0.0336136001832826,1
11,11,0.9699098521619944,0.0626532034553545,1
12,12,0.8324426408004217,0.9064374533444112,1
13,13,0.2123391106782761,0.1392453711175951,0
14,14,0.1818249672071006,0.5324206822752171,0
15,15,0.1834045098534338,0.4110956026007065,1
16,16,0.3042422429595377,0.3473433262588427,0
17,17,0.5247564316322378,0.8998333456872725,1
18,18,0.4319450186421157,0.0218233967754895,0
19,19,0.2912291401980419,0.6637896861755892,1
20,20,0.6118528947223795,0.9633944342135504,1
21,21,0.1394938606520418,0.560168183461842,1
22,22,0.2921446485352181,0.9368224620330918,1
23,23,0.3663618432936916,0.0522578792860237,0
24,24,0.4560699842170359,0.4187933190741614,0
25,25,0.7851759613930136,0.2601577909620511,0
26,26,0.1996737821583597,0.7308209649807298,1
27,27,0.5142344384136116,0.9812970904972468,1
28,28,0.5924145688620425,0.2565300624442478,0
29,29,0.0464504127199977,0.6541746014740745,1
30,30,0.6075448519014384,0.1980976327597401,0
31,31,0.1705241236872915,0.56533025457161,1
32,32,0.0650515929852795,0.4639324866883362,1
33,33,0.9488855372533334,0.9720053296315372,0
34,34,0.9656320330745594,0.6085272726964666,1
35,35,0.8083973481164611,0.3495063720868188,0
36,36,0.3046137691733707,0.1140957848879333,0
37,37,0.0976721140063838,0.1512468287349345,0
38,38,0.684233026512157,0.225316929951235,0
39,39,0.4401524937396013,0.2509666613402979,0
40,40,0.1220382348447788,0.8506160578411378,0
41,41,0.4951769101112702,0.561222788282525,1
42,42,0.0343885211152183,0.5233909113743663,0
43,43,0.909320402078782,0.1147688718692175,0
44,44,0.2587799816000168,0.8601396933494351,1
45,45,0.662522284353982,0.7228143032084836,1
46,46,0.3117110760894109,0.0676683619000016,0
47,47,0.5200680211778108,0.7078350972297687,1
48,48,0.5467102793432796,0.5435382173426462,0
49,49,0.184854455525527,0.0817253457467782,0
50,50,0.9695846277645586,0.4583006415286565,0
51,51,0.7751328233611146,0.4846962871300469,1
52,52,0.9394989415641892,0.1657745401632757,0
53,53,0.8948273504276488,0.9456981470002822,1
54,54,0.5978999788110851,0.8499753714806618,1
55,55,0.9218742350231168,0.6690223373291083,1
56,56,0.0884925020519195,0.4622955610006072,0
57,57,0.1959828624191451,0.4117655415845084,1
58,58,0.045227288910538,0.6509734671509542,0
59,59,0.3253303307632643,0.5454318694069054,0
60,60,0.3886772896894819,0.0622731058818855,0
61,61,0.2713490317738959,0.5125026487703318,1
62,62,0.8287375091519295,0.8064036172328394,1
63,63,0.3567533266935893,0.459239877596958,1
64,64,0.2809345096873807,0.0519565775542684,0
65,65,0.5426960831582485,0.7862781993840331,1
66,66,0.1409242249747626,0.2013637821359744,1
67,67,0.8021969807540397,0.2586208348880388,0
68,68,0.0745506436797708,0.1647063534322959,0
69,69,0.9868869366005172,0.3302150648714975,0
70,70,0.7722447692966574,0.756751505688635,1
71,71,0.1987156815341723,0.5193858595039372,0
72,72,0.0055221171236024,0.2048812741507125,0
73,73,0.815461428454834,0.8778300781520407,1
74,74,0.7068573438476171,0.8795818549515293,1
75,75,0.7290071680409873,0.8705784250460068,1
76,76,0.7712703466859457,0.2387962113815392,1
77,77,0.0740446517340903,0.4512393441809881,0
78,78,0.3584657285442726,0.9849896561408752,1
79,79,0.1158690595251297,0.7720124763099904,1
80,80,0.8631034258755934,0.0271674212255597,0
81,81,0.6232981268275579,0.065204591260492,1
82,82,0.3308980248526492,0.4639313768123328,0
83,83,0.0635583502860236,0.9092202058615602,0
84,84,0.3109823217156622,0.5387017979527143,1
85,85,0.325183322026747,0.4978125080342901,1
86,86,0.729606178338064,0.1054736999566305,1
87,87,0.6375574713552131,0.6567801047242942,1
88,88,0.8872127425763267,0.8221031606002254,1
89,89,0.4722149251619493,0.3804200075075623,1
90,90,0.1195942459383017,0.7756118509253276,0
91,91,0.713244787222995,0.9644766539008116,1
92,92,0.7607850486168974,0.2037664591276891,1
93,93,0.5612771975694962,0.5233296311947412,0
94,94,0.770967179954561,0.2871379580845755,1
95,95,0.4937955963643907,0.7928544190338392,1
96,96,0.5227328293819941,0.5775933658811575,1
